timestamp,domain,server_contacted,rtt_ms
2025-10-28 07:07:30,google.com,198.41.0.4,153.94
2025-10-28 07:07:30,google.com,192.41.162.30,149.54
2025-10-28 07:07:30,google.com,216.239.34.10,31.35
2025-10-28 07:08:50,main.vscode-cdn.net,198.41.0.4,163.21
2025-10-28 07:08:50,main.vscode-cdn.net,192.55.83.30,165.33
2025-10-28 07:08:50,main.vscode-cdn.net,150.171.21.9,50.45
2025-10-28 07:08:50,main.vscode-cdn.net,192.52.178.30,200.47
2025-10-28 07:08:50,main.vscode-cdn.net,192.33.14.30,326.86
2025-10-28 07:08:50,main.vscode-cdn.net,192.35.51.30,185.03
2025-10-28 07:08:50,main.vscode-cdn.net,192.31.80.30,timeout
2025-10-28 07:08:50,main.vscode-cdn.net,192.54.112.30,timeout
2025-10-28 07:08:50,main.vscode-cdn.net,170.247.170.2,278.49
2025-10-28 07:08:50,main.vscode-cdn.net,192.5.6.30,165.14
2025-10-28 07:08:50,main.vscode-cdn.net,192.26.92.30,188.00
2025-10-28 07:08:50,main.vscode-cdn.net,192.12.94.30,191.64
2025-10-28 07:08:50,main.vscode-cdn.net,192.42.93.30,timeout
2025-10-28 07:08:50,main.vscode-cdn.net,192.33.4.12,130.49
2025-10-28 07:08:50,main.vscode-cdn.net,192.41.162.30,154.48
2025-10-28 07:08:50,main.vscode-cdn.net,192.48.79.30,167.66
2025-10-28 07:08:50,main.vscode-cdn.net,192.43.172.30,185.18
2025-10-28 07:08:50,main.vscode-cdn.net,199.7.91.13,45.94
2025-10-28 07:08:50,main.vscode-cdn.net,192.203.230.10,68.04
2025-10-28 07:08:50,main.vscode-cdn.net,192.5.5.241,timeout
2025-10-28 07:08:50,main.vscode-cdn.net,192.112.36.4,165.60
2025-10-28 07:08:50,main.vscode-cdn.net,198.97.190.53,309.77
2025-10-28 07:08:50,main.vscode-cdn.net,192.36.148.17,32.39
2025-10-28 07:08:50,main.vscode-cdn.net,192.58.128.30,timeout
2025-10-28 07:08:50,main.vscode-cdn.net,193.0.14.129,70.97
2025-10-28 07:08:50,main.vscode-cdn.net,199.7.83.42,timeout
2025-10-28 07:08:50,main.vscode-cdn.net,202.12.27.33,168.20
2025-10-28 07:09:11,mobile.events.data.microsoft.com,198.41.0.4,154.19
2025-10-28 07:09:11,mobile.events.data.microsoft.com,192.41.162.30,152.23
2025-10-28 07:09:11,mobile.events.data.microsoft.com,150.171.10.39,33.37
2025-10-28 07:09:11,mobile.events.data.microsoft.com,192.48.79.30,152.95
2025-10-28 07:09:11,mobile.events.data.microsoft.com,192.54.112.30,timeout
2025-10-28 07:09:11,mobile.events.data.microsoft.com,192.31.80.30,timeout
2025-10-28 07:09:11,mobile.events.data.microsoft.com,192.33.14.30,272.81
2025-10-28 07:09:11,mobile.events.data.microsoft.com,192.35.51.30,169.17
2025-10-28 07:09:11,mobile.events.data.microsoft.com,170.247.170.2,273.76
2025-10-28 07:09:11,mobile.events.data.microsoft.com,192.5.6.30,136.06
2025-10-28 07:09:11,mobile.events.data.microsoft.com,192.26.92.30,174.77
2025-10-28 07:09:11,mobile.events.data.microsoft.com,192.12.94.30,174.01
2025-10-28 07:09:11,mobile.events.data.microsoft.com,192.33.4.12,102.02
2025-10-28 07:09:11,mobile.events.data.microsoft.com,192.55.83.30,153.73
2025-10-28 07:09:11,mobile.events.data.microsoft.com,192.52.178.30,154.47
2025-10-28 07:09:11,mobile.events.data.microsoft.com,192.43.172.30,168.37
2025-10-28 07:09:11,mobile.events.data.microsoft.com,192.42.93.30,timeout
2025-10-28 07:09:11,mobile.events.data.microsoft.com,199.7.91.13,73.41
2025-10-28 07:09:11,mobile.events.data.microsoft.com,192.203.230.10,62.31
2025-10-28 07:09:11,mobile.events.data.microsoft.com,192.5.5.241,timeout
2025-10-28 07:09:11,mobile.events.data.microsoft.com,192.112.36.4,164.47
2025-10-28 07:09:11,mobile.events.data.microsoft.com,198.97.190.53,343.00
