Domain,Status,Latency (ms)
tuhafhaberler.com,FAIL,15.89
rtsab.com,FAIL,4.57
i-butterfly.ru,SUCCESS,0.38
datepanchang.com,SUCCESS,0.21
localhost.re,SUCCESS,0.15
daehepharma.com,FAIL,3.91
ex-jw.org,SUCCESS,0.33
us.tf,FAIL,9.35
informarexresistere.fr,SUCCESS,0.17
running-sigi.de,FAIL,3.86
buynowfromusa.com,SUCCESS,0.18
pbprofile.com,FAIL,4.42
fini.net,SUCCESS,0.28
globalpoliticalspectrum.com,FAIL,4.18
41latitude.com,FAIL,4.83
zzxu.cn,FAIL,5.24
energybulbs.co.uk,SUCCESS,0.17
o-ov.com,FAIL,7.55
lozo.com,SUCCESS,0.21
tottenhamhk.com,FAIL,4.31
newstetic.com,SUCCESS,0.23
triggerfish.se,SUCCESS,0.1
reprosystems.ru,SUCCESS,0.1
interfloracentral.co.uk,SUCCESS,0.09
afairjudgement.com,SUCCESS,0.11
owlcreek.com,SUCCESS,0.08
radioterminal.ru,SUCCESS,0.08
junio.com,SUCCESS,0.08
ditrblog.com,FAIL,4.37
alchemedialtd.com,SUCCESS,0.18
portclydegeneralstore.com,SUCCESS,0.13
alenpuaca.com,SUCCESS,0.08
dj-producer-j-mbargo.com,FAIL,3.65
iag-inc.com,SUCCESS,0.25
advertos.ru,SUCCESS,0.08
kh.ua,SUCCESS,0.08
kennethehartman.com,SUCCESS,0.11
hemcolubricants.com,SUCCESS,0.1
forpsi.net,SUCCESS,0.08
memeblender.com,SUCCESS,0.09
somode.com,FAIL,5.69
gamemob.com,SUCCESS,0.19
monsterhomesecuritystore.com,FAIL,46.26
door2games.com,SUCCESS,0.28
ondemandappliancerepair.com,SUCCESS,0.1
gensee.com,SUCCESS,0.08
caricsports.com,SUCCESS,0.11
auqzzx.com,FAIL,4.98
toaskfuture.com,SUCCESS,0.17
cetsi.fr,SUCCESS,0.08
probigbets.com,FAIL,4.28
bikesandtransit.com,SUCCESS,0.2
aqvr.com,SUCCESS,0.08
niceinternetmoney.ru,FAIL,3.67
chonvn.com,FAIL,3.9
eugenbotnar.com,FAIL,47.65
phi-pe.com,FAIL,4.68
chuamatsua.com,FAIL,9.96
pictures-thailand.com,SUCCESS,0.29
2brightsparks.co.uk,SUCCESS,0.25
astrumonline.ru,SUCCESS,0.18
blueridgelife.com,SUCCESS,0.23
mwzip.com,SUCCESS,0.16
gusbi.com,SUCCESS,0.08
simternet.com,SUCCESS,0.11
khsm.ru,SUCCESS,0.08
livelinks.com,SUCCESS,0.1
jantv.in,SUCCESS,0.09
hornil.com,SUCCESS,0.08
7dfps.com,SUCCESS,0.09
luckypuppygames.com,SUCCESS,0.11
b-matrix.com,SUCCESS,0.08
coutureauchocolat.com,FAIL,4.41
afresnohomeinspector.com,SUCCESS,0.16
pieceinch.com,SUCCESS,0.11
australiatradenow.com,SUCCESS,0.1
diamondknot.com,SUCCESS,0.1
amorefieldlife.com,SUCCESS,0.08
sheltercoveinn.com,FAIL,48.64
wrestlingfanssuck.com,SUCCESS,0.18
sdccdonline.net,SUCCESS,0.09
autofirenze.biz,SUCCESS,0.08
house-sg.com,SUCCESS,336.54
camcard.com,SUCCESS,0.2
ppsuika.ac.id,SUCCESS,0.09
healthnews4you.com,SUCCESS,0.1
stunninggirls.net,SUCCESS,0.08
kathihill.com,SUCCESS,0.08
linksplash.info,FAIL,4.6
group14eng.com,SUCCESS,0.17
shqqaa.com,SUCCESS,0.11
mesites.co.za,SUCCESS,0.09
progettogiovani.pd.it,SUCCESS,0.08
uahoy.net,FAIL,4.62
retiragroup.com,FAIL,31.62
effexdjs.com,FAIL,5.53
mysearch-online.com,FAIL,4.15
asadventure.com,SUCCESS,0.34
michiganbulb.com,SUCCESS,0.18
shivalikprints.com,SUCCESS,0.16
