Domain,Status,Resolved_IPs,Latency (ms)
tenant-internet.com,FAIL,-,5000.0
gadanguides.com,FAIL,-,5000.0
charityjob.co.uk,FAIL,-,5000.0
sarahpartridge.net,FAIL,-,5000.0
ecolems.com,FAIL,-,5000.0
marilynlingerie.com,FAIL,-,5000.0
anvilnetworksolutions.net,FAIL,-,5000.0
cdmail.fr,FAIL,-,5000.0
freeditorial.com,FAIL,-,5000.0
ciber.com,FAIL,-,5000.0
get-webby.com,FAIL,-,5000.0
gadgetgearpro.com,FAIL,-,5000.0
sonoma-marinfair.org,FAIL,-,5000.0
ishidatic.com,FAIL,-,5000.0
minecraftserverdeals.com,FAIL,-,5000.0
romney.com,FAIL,-,5000.0
bookingnest.com,FAIL,-,5000.0
metar.gr,FAIL,-,5000.0
bigliettieventi.info,FAIL,-,5000.0
asseenontvlaunchpad.com,FAIL,-,5000.0
ftf.com,FAIL,-,5000.0
polymth.com,FAIL,-,5000.0
crsgfk.de,FAIL,-,5000.0
urbannetwork.co.uk,FAIL,-,5000.0
synrc.com,FAIL,-,5000.0
callcomm.info,FAIL,-,5000.0
ceskykutil.cz,FAIL,-,5000.0
ximangquantrieu.com,FAIL,-,5000.0
shishioh.info,FAIL,-,5000.0
vpndefender.com,FAIL,-,5000.0
hutago.com,FAIL,-,5000.0
tangkas888.com,FAIL,-,5000.0
egov.sy,FAIL,-,5000.0
abmcare.com,FAIL,-,5000.0
iael.com,FAIL,-,5000.0
sailor.pl,SUCCESS,88.99.19.146,3945.01
skyhightmatter.info,FAIL,-,5000.0
autopareri.com,FAIL,-,5000.0
cia.it,SUCCESS,3.248.13.228,1813.95
texasbeyondhistory.net,SUCCESS,146.6.162.220,4341.1
gardenofwords.com,SUCCESS,192.0.78.24,391.79
giuseppelivraghi.it,SUCCESS,89.46.108.54,1542.8
hdcric.com,SUCCESS,159.69.42.212,496.28
chekiang.info,FAIL,-,5000.0
archiportale.com,FAIL,-,5000.0
de.vu,SUCCESS,81.28.232.69,2422.58
teachmyass.info,SUCCESS,103.224.182.212,1139.6
nasaspaceflight.com,SUCCESS,172.66.43.73,383.59
consumerreviews24.com,FAIL,-,5000.0
dilw.ie,FAIL,-,5000.0
bbqinjector.com,FAIL,-,5000.0
gxjbsj.com,FAIL,-,5000.0
fmnara.com,FAIL,-,5000.0
pet-connect.ru,FAIL,-,5000.0
synchchaos.com,FAIL,-,5000.0
uca.edu,FAIL,-,5000.0
oaister.org,FAIL,-,5000.0
chenghuavideo.asia,FAIL,-,5000.0
video-peche-poisson.fr,FAIL,-,5000.0
currencyrates.org,FAIL,-,5000.0
zpav.pl,FAIL,-,5000.0
tawali.com,FAIL,-,5000.0
dock2office.com,FAIL,-,5000.0
vlielandoutdoorcenter.nl,FAIL,-,5000.0
gregginn.com,FAIL,-,5000.0
arcoat.com,FAIL,-,5000.0
cushinglawoffices.com,FAIL,-,5000.0
eggcityradio.com,FAIL,-,5000.0
michaelbyers.org,FAIL,-,5000.0
stkpro.ru,FAIL,-,5000.0
silveropt.ru,FAIL,-,5000.0
topbarbee.com,FAIL,-,5000.0
teleskill.it,FAIL,-,5000.0
virtualjerusalem.com,FAIL,-,5000.0
morban.co.uk,FAIL,-,5000.0
mechachal.org,FAIL,-,5000.0
noblewomanhood.com,FAIL,-,5000.0
cosmeticaestheticsurgery.com,FAIL,-,5000.0
note-so-easy.co.za,FAIL,-,5000.0
vietcapitaltour.com,FAIL,-,5000.0
ncees.org,FAIL,-,5000.0
laigang001.com,FAIL,-,5000.0
verlockeshop.de,FAIL,-,5000.0
clickdownloadfiles.com,FAIL,-,5000.0
e-hps.com,FAIL,-,5000.0
drglendza.co.rs,FAIL,-,5000.0
ghimpele.ro,FAIL,-,5000.0
pahibu.net,FAIL,-,5000.0
trackcheatingspouse.com,FAIL,-,5000.0
dricom-hosting.nl,FAIL,-,5000.0
medipacademy.com,FAIL,-,5000.0
e-daily.gr,FAIL,-,5000.0
cuteteenschoolgirlz.com,FAIL,-,5000.0
hralda.info,FAIL,-,5000.0
sendrakhizonline.com,FAIL,-,5000.0
hayalforum.net,FAIL,-,5000.0
begleyhutton.com,FAIL,-,5000.0
bmw-parts.ru,FAIL,-,5000.0
rterc.in,FAIL,-,5000.0
monitis.com,FAIL,-,5000.0
