timestamp,domain,resolution_mode,dns_server_ip,step,response_type,rtt_ms,total_time_ms,cache_status
2025-10-28 11:14:07,tuhafhaberler.com,iterative,198.41.0.4,ROOT,REFERRAL,152.16,-,MISS
2025-10-28 11:14:07,tuhafhaberler.com,iterative,192.41.162.30,TLD/AUTH,REFERRAL,163.94,-,MISS
2025-10-28 11:14:07,tuhafhaberler.com,iterative,192.48.79.30,TLD/AUTH,REFERRAL,152.05,-,MISS
2025-10-28 11:14:07,tuhafhaberler.com,iterative,192.54.112.30,TLD/AUTH,NO_RESPONSE,timeout,-,MISS
2025-10-28 11:14:07,tuhafhaberler.com,iterative,192.31.80.30,TLD/AUTH,NO_RESPONSE,timeout,-,MISS
2025-10-28 11:14:07,tuhafhaberler.com,iterative,192.33.14.30,TLD/AUTH,REFERRAL,269.46,-,MISS
2025-10-28 11:14:07,tuhafhaberler.com,iterative,192.35.51.30,TLD/AUTH,REFERRAL,195.30,-,MISS
2025-10-28 11:14:07,tuhafhaberler.com,iterative,170.247.170.2,ROOT,REFERRAL,270.29,-,MISS
2025-10-28 11:14:07,tuhafhaberler.com,iterative,192.5.6.30,TLD/AUTH,REFERRAL,45.92,-,MISS
2025-10-28 11:14:07,tuhafhaberler.com,iterative,192.26.92.30,TLD/AUTH,REFERRAL,176.87,-,MISS
2025-10-28 11:14:07,tuhafhaberler.com,iterative,192.12.94.30,TLD/AUTH,REFERRAL,188.19,-,MISS
2025-10-28 11:14:07,tuhafhaberler.com,iterative,192.42.93.30,TLD/AUTH,NO_RESPONSE,timeout,-,MISS
2025-10-28 11:14:07,tuhafhaberler.com,iterative,192.33.4.12,ROOT,REFERRAL,112.22,-,MISS
2025-10-28 11:14:07,tuhafhaberler.com,iterative,192.55.83.30,TLD/AUTH,REFERRAL,176.89,-,MISS
2025-10-28 11:14:07,tuhafhaberler.com,iterative,192.52.178.30,TLD/AUTH,REFERRAL,175.53,-,MISS
2025-10-28 11:14:07,tuhafhaberler.com,iterative,192.43.172.30,TLD/AUTH,REFERRAL,188.39,-,MISS
2025-10-28 11:14:07,tuhafhaberler.com,iterative,199.7.91.13,ROOT,REFERRAL,70.28,-,MISS
2025-10-28 11:14:07,tuhafhaberler.com,iterative,192.203.230.10,ROOT,REFERRAL,71.91,-,MISS
2025-10-28 11:14:07,tuhafhaberler.com,iterative,192.5.5.241,ROOT,NO_RESPONSE,timeout,-,MISS
