timestamp,client,domain,result_ip,total_time_ms
2025-10-28 11:14:07,10.0.0.1,tuhafhaberler.com,FAIL,21272.69
2025-10-28 11:14:28,10.0.0.1,rtsab.com,FAIL,21276.41
2025-10-28 11:14:50,10.0.0.1,i-butterfly.ru,104.21.88.172,805.34
2025-10-28 11:14:50,10.0.0.1,datepanchang.com,13.75.66.141,576.15
2025-10-28 11:14:51,10.0.0.1,localhost.re,104.21.50.127,858.53
2025-10-28 11:14:52,10.0.0.1,daehepharma.com,FAIL,21629.20
2025-10-28 11:15:14,10.0.0.1,ex-jw.org,185.230.63.186,3650.90
2025-10-28 11:15:17,10.0.0.1,us.tf,FAIL,15221.43
2025-10-28 11:15:32,10.0.0.1,informarexresistere.fr,178.32.143.165,972.46
2025-10-28 11:15:33,10.0.0.1,running-sigi.de,FAIL,11532.11
2025-10-28 11:15:45,10.0.0.1,buynowfromusa.com,35.223.118.1,455.32
2025-10-28 11:15:45,10.0.0.1,pbprofile.com,FAIL,21028.35
2025-10-28 11:16:06,10.0.0.1,fini.net,198.57.192.137,585.22
2025-10-28 11:16:07,10.0.0.1,globalpoliticalspectrum.com,FAIL,20985.63
2025-10-28 11:16:28,10.0.0.1,41latitude.com,FAIL,24145.07
2025-10-28 11:16:52,10.0.0.1,zzxu.cn,FAIL,13667.62
2025-10-28 11:17:06,10.0.0.1,energybulbs.co.uk,23.227.38.32,1026.26
2025-10-28 11:17:07,10.0.0.1,o-ov.com,FAIL,21393.17
2025-10-28 11:17:28,10.0.0.1,lozo.com,34.192.96.224,361.08
2025-10-28 11:17:29,10.0.0.1,tottenhamhk.com,FAIL,21006.19
2025-10-28 11:17:50,10.0.0.1,newstetic.com,172.67.131.89,374.75
2025-10-28 11:17:50,10.0.0.1,triggerfish.se,162.159.134.42,523.26
2025-10-28 11:17:50,10.0.0.1,reprosystems.ru,104.21.59.11,843.35
2025-10-28 11:17:51,10.0.0.1,interfloracentral.co.uk,217.69.32.44,997.95
2025-10-28 11:17:52,10.0.0.1,afairjudgement.com,104.21.56.56,390.34
2025-10-28 11:17:53,10.0.0.1,owlcreek.com,205.178.189.129,359.15
2025-10-28 11:17:53,10.0.0.1,radioterminal.ru,188.225.40.161,585.73
2025-10-28 11:17:54,10.0.0.1,junio.com,209.196.144.25,760.82
2025-10-28 11:17:54,10.0.0.1,ditrblog.com,FAIL,21044.64
2025-10-28 11:18:15,10.0.0.1,alchemedialtd.com,68.66.224.29,335.99
2025-10-28 11:18:16,10.0.0.1,portclydegeneralstore.com,198.185.159.144,480.40
2025-10-28 11:18:16,10.0.0.1,alenpuaca.com,67.205.28.253,628.31
2025-10-28 11:18:17,10.0.0.1,dj-producer-j-mbargo.com,FAIL,21031.96
2025-10-28 11:18:38,10.0.0.1,iag-inc.com,103.224.182.253,10077.61
2025-10-28 11:18:48,10.0.0.1,advertos.ru,45.92.176.75,1231.77
2025-10-28 11:18:49,10.0.0.1,kh.ua,195.69.185.211,432.73
2025-10-28 11:18:50,10.0.0.1,kennethehartman.com,192.0.78.24,368.92
2025-10-28 11:18:50,10.0.0.1,hemcolubricants.com,194.9.94.86,959.58
2025-10-28 11:18:51,10.0.0.1,forpsi.net,85.255.6.237,477.13
2025-10-28 11:18:51,10.0.0.1,memeblender.com,172.67.136.240,362.15
2025-10-28 11:18:52,10.0.0.1,somode.com,FAIL,21020.83
2025-10-28 11:19:13,10.0.0.1,gamemob.com,3.33.130.190,501.14
2025-10-28 11:19:13,10.0.0.1,monsterhomesecuritystore.com,FAIL,20993.28
2025-10-28 11:19:34,10.0.0.1,door2games.com,160.153.0.43,519.14
2025-10-28 11:19:35,10.0.0.1,ondemandappliancerepair.com,74.208.236.102,487.22
2025-10-28 11:19:35,10.0.0.1,gensee.com,211.150.89.25,406.77
2025-10-28 11:19:36,10.0.0.1,caricsports.com,172.67.216.98,352.85
2025-10-28 11:19:36,10.0.0.1,auqzzx.com,FAIL,21041.93
2025-10-28 11:19:57,10.0.0.1,toaskfuture.com,119.18.54.195,368.84
2025-10-28 11:19:58,10.0.0.1,cetsi.fr,91.151.64.24,501.97
2025-10-28 11:19:58,10.0.0.1,probigbets.com,FAIL,21033.11
2025-10-28 11:20:19,10.0.0.1,bikesandtransit.com,192.0.78.24,352.21
2025-10-28 11:20:19,10.0.0.1,aqvr.com,89.117.19.57,618.57
